,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12725,110,3,6,0.34,2,0
12727,42,5,18,1.01,1,12
12728,47,3,25,1.61,2,348
12729,58,2,11,0.64,1,179
12730,98,3,10,0.6,1,0
12731,30,30,3,0.18,19,269
12732,25,1,54,3.06,1,111
12733,25,3,2,0.12,1,0
12734,25,2,9,0.5,1,7
12735,60,7,67,3.78,1,33
12736,20,1,1,0.06,1,0
12737,75,4,28,1.59,1,127
12738,65,3,23,1.3,1,17
12739,49,10,1,0.06,1,0
12741,20,1,9,0.5,1,0
12742,120,3,7,0.4,1,0
12743,42,50,1,0.09,1,257
12744,28,3,7,0.4,1,5
12745,115,6,11,0.88,2,177
12746,50,3,1,0.08,1,0
12747,55,2,22,1.3,2,33
12748,100,2,18,1.02,1,169
12749,25,1,3,0.17,1,0
12750,25,7,2,0.12,1,0
12751,40,7,7,0.39,1,0
12753,81,2,3,0.17,1,310
12754,39,13,1,0.06,1,0
12755,110,5,3,0.18,1,0
12757,80,1,5,0.29,2,21
12758,15,3,1,0.06,1,0
12759,69,2,17,0.96,1,0
12760,39,3,19,1.08,1,0
12761,25,2,8,0.45,2,37
12762,83,4,36,2.07,4,166
12763,28,3,4,0.22,1,0
12764,99,60,1,0.23,1,341
12766,70,2,12,0.68,1,0
12768,36,4,13,0.78,1,107
12771,33,3,2,0.11,1,0
12772,80,3,19,1.07,1,14
12773,23,2,15,0.85,2,37
12774,160,2,2,0.11,1,0
12775,20,5,1,0.08,1,0
12776,36,6,4,0.23,1,0
12777,38,7,1,0.07,1,0
12778,100,2,1,0.06,1,0
12779,32,3,11,0.74,2,0
12780,42,1,18,1.1,45,175
12782,17,5,1,0.06,1,0
12783,29,7,3,0.18,1,0
12784,56,4,4,0.23,1,0
12785,39,2,2,0.11,1,0
12786,30,2,2,0.11,1,0
12787,130,2,64,3.63,1,50
12788,129,2,25,1.41,1,8
12790,40,4,6,0.34,1,0
12791,45,1,2,0.12,1,0
12792,39,4,4,0.23,1,0
12793,100,2,31,1.75,1,12
12795,47,4,13,0.74,1,0
12796,30,4,2,0.13,1,0
12797,24,14,6,0.34,2,23
12798,23,5,5,0.31,1,0
12799,52,1,16,0.89,1,3
12800,40,2,4,0.23,1,4
12801,23,1,17,0.95,1,83
12802,49,3,36,2.07,1,25
12803,24,60,7,0.41,1,0
12804,35,4,6,0.34,1,0
12805,29,12,6,0.41,1,0
12806,50,29,4,0.23,1,0
12807,45,3,3,0.18,1,0
12808,30,4,8,0.48,1,0
12809,57,3,8,0.45,3,0
12810,52,3,28,1.59,1,7
12811,42,3,16,0.91,1,5
12813,20,2,3,0.17,1,0
12814,33,2,31,1.76,1,84
12815,99,3,41,2.33,1,35
12816,89,7,4,0.26,1,1
12817,75,2,13,0.74,1,0
12818,24,1,19,1.21,1,50
12819,60,1,24,1.38,1,85
12820,45,1,27,1.53,1,35
12822,20,1,23,1.31,1,9
12823,59,2,22,1.25,1,0
12824,150,3,9,0.52,1,38
12825,40,2,3,0.17,1,0
12826,58,3,29,1.64,1,0
12828,42,1,50,2.95,1,170
12829,35,3,21,1.24,1,338
12831,89,2,5,0.28,1,0
12833,44,18,3,0.18,1,0
12834,22,6,31,1.77,1,0
12835,50,2,48,2.72,1,68
12838,35,1,3,0.18,1,0
12839,97,2,5,0.28,2,0
12840,70,3,1,0.1,1,0
12841,34,2,10,0.61,1,341
12842,99,2,1,0.06,1,0
12843,35,4,6,0.35,3,0
12844,35,2,3,0.17,1,0
12845,15,3,3,0.17,1,0
12848,49,3,3,0.2,1,0
12849,42,1,55,3.13,45,129
12850,39,2,19,1.09,1,71
12851,50,3,24,1.37,1,0
12852,350,2,16,1.0,1,94
12853,35,2,5,0.28,1,94
12854,25,1,9,0.52,1,35
12855,39,4,5,0.28,1,0
12856,80,1,11,0.62,1,0
12857,45,3,1,0.06,1,0
12858,35,2,1,0.06,1,125
12859,35,1,3,0.18,1,0
12860,38,2,12,0.68,1,0
