,room_type
2835,0
2837,0
2838,1
2839,0
2840,0
2841,0
2842,0
2843,1
2845,1
2847,0
2848,1
2849,1
2851,1
2852,1
2853,1
2854,0
2855,0
2856,1
2857,0
2858,0
2860,0
2861,1
2863,1
2865,0
2866,1
2867,0
2868,1
2869,0
2871,1
2872,0
2873,1
2874,1
2875,1
2876,0
2877,0
2878,1
2879,1
2880,1
2881,1
2882,1
2884,0
2885,0
2886,1
2889,1
2890,0
2891,0
2892,0
2894,0
2895,0
2896,0
2897,0
2898,0
2900,0
2901,1
2902,1
2903,0
2904,1
2905,0
2906,1
2907,0
2908,1
2910,0
2911,0
2912,0
2913,0
2915,0
2917,0
2919,1
2920,1
2922,1
2923,0
2924,0
2925,0
2926,0
2927,1
2929,0
2930,1
2931,0
2932,0
2933,0
2934,0
2935,1
2936,0
2937,0
2940,0
2941,0
2943,0
2944,0
2945,0
2946,0
2947,0
2948,1
2949,1
2950,0
2951,1
2952,1
2953,0
2954,0
2955,0
2957,0
2958,0
2960,0
2961,0
2963,0
2965,0
2966,0
2967,0
2968,0
2969,1
2971,0
2972,1
2974,0
2975,1
2976,1
2977,1
2978,0
2979,0
2980,1
2981,0
2982,0
2983,0
2984,1
2985,0
2986,0
2987,1
2988,0
2989,0
2990,0
2991,0
2992,0
2993,1
2994,0
2996,1
2997,1
2998,0
2999,1
3000,1
3001,1
3003,0
3004,0
3005,0
3007,1
3008,0
3009,1
3010,1
3011,0
3012,0
3013,1
3014,0
3015,0
3016,1
3017,0
3018,0
3019,1
3020,0
3022,0
3023,0
3025,1
3027,0
3028,0
3030,1
3031,1
3032,0
3033,0
3036,1
3037,0
3038,1
3039,1
3041,1
3042,0
3043,1
3045,0
3046,0
3048,0
3049,0
3050,1
3051,1
3052,1
3053,0
3056,0
3057,1
3058,2
3059,0
3061,0
3063,1
3064,1
3065,0
3066,1
3068,0
3069,0
3070,0
3071,0
3072,1
3073,0
3074,0
3075,0
3076,1
3077,0
3078,1
3080,0
3081,0
3082,1
3083,0
3084,1
3085,0
3086,1
3087,1
3088,0
3090,1
3091,0
3092,0
3093,1
3094,1
3096,0
3099,0
3100,0
3102,1
3103,0
3104,0
3105,0
3106,1
3107,0
3108,1
3109,0
3110,1
3111,0
3112,0
3113,1
3114,1
3115,0
3116,0
3117,1
3118,1
3119,1
3120,0
3121,1
3122,0
3123,1
3124,0
3125,1
3126,0
3128,1
3129,0
3130,1
3131,1
3132,1
3133,0
3134,0
3135,0
3136,0
3137,0
3138,1
3139,1
3140,0
3141,1
3143,0
3144,1
3145,0
3146,0
3147,1
3148,1
3149,1
3150,0
3152,1
3153,0
3154,0
3156,0
3157,0
3158,0
3159,1
3160,1
3161,1
3162,0
3163,0
3165,1
3166,0
3168,0
3169,0
3170,1
3172,1
3173,0
3174,1
3175,1
3177,1
3179,1
3180,1
3181,1
3182,0
3183,0
3185,1
3186,0
3188,0
3190,0
3191,1
3192,0
3193,0
3194,1
3195,0
3196,0
3197,0
3198,0
3199,0
3200,0
3201,1
3202,1
3204,0
3206,0
3207,0
3208,1
3209,1
3210,1
3212,1
3213,0
3214,0
3215,0
3216,0
3217,1
3218,1
3219,0
3220,0
3221,0
3223,0
3226,0
3227,1
3228,1
3229,0
3230,1
3231,0
3232,0
3234,1
3235,1
3236,1
3237,0
3238,0
3239,1
3241,1
3242,1
3243,1
3244,1
3245,0
3246,0
3247,0
3248,1
3251,0
3252,0
3253,1
3254,0
3255,0
3258,0
3259,1
3261,1
3263,1
3264,1
3265,0
3266,1
3267,1
3268,0
3269,1
3270,0
3271,1
3272,0
3273,1
3276,1
3280,0
3281,0
3282,1
3284,0
3286,0
3287,1
3288,0
3290,0
3292,0
3295,1
3297,0
3298,0
3299,1
3300,1
3301,0
3304,1
3305,0
3306,1
3307,0
3308,0
3309,1
3310,0
3311,0
3312,0
3314,1
3315,1
3316,0
3317,1
3318,0
3319,0
3322,1
3323,0
3324,0
3325,1
3327,0
3328,0
3329,0
3331,0
3332,1
3333,1
3334,0
3335,0
3337,1
3338,0
3345,0
3347,1
3348,0
3349,1
3350,0
3351,1
3352,0
3353,0
3359,1
3360,1
3362,1
3363,1
3365,0
3366,1
3367,1
3370,1
3371,0
3372,1
3373,0
3375,0
3376,1
3378,0
3379,0
3380,0
3382,1
3383,1
3384,1
3385,1
3386,1
3387,1
3389,1
3390,0
3391,1
3393,0
3395,0
3396,1
3398,1
3399,0
3400,0
3401,1
3402,0
3405,0
3406,1
3407,1
3408,1
3409,1
3410,1
3411,1
3413,0
3414,1
3415,1
3416,0
3417,0
3418,1
3419,0
3421,1
3422,1
3423,1
3424,0
3427,0
3428,1
3429,1
3430,0
3432,0
3433,1
3438,1
3440,0
3441,0
3443,0
3444,2
3446,1
3447,0
3448,0
3449,1
3450,1
3451,1
3456,0
3458,2
3459,1
3461,1
3462,0
3463,1
3464,0
3465,1
3466,1
3468,1
3470,1
3471,1
3472,1
3474,1
3478,0
3479,1
3480,1
3481,1
3482,1
3483,1
3484,0
3487,0
3488,1
3490,0
3493,1
3494,1
3495,0
3498,0
3499,0
3500,0
3501,0
3502,0
3503,0
3504,0
3505,1
3506,1
3507,0
3510,1
3513,0
3514,0
3516,1
3517,0
3520,1
3521,1
3523,0
3525,0
3528,1
3529,1
3530,0
3531,0
3534,0
3537,0
3538,1
3539,1
3540,0
3541,1
3542,0
3543,1
3544,0
3546,0
3547,0
3549,1
3550,0
3551,0
3552,0
3553,0
3554,1
3555,1
3558,0
3559,0
3560,1
3561,0
3562,1
3563,1
